Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000197,Barnet 023A,2,Household is deprived in one dimension,264
E01000197,Barnet 023A,3,Household is deprived in two dimensions,90
E01000197,Barnet 023A,4,Household is deprived in three dimensions,20
E01000197,Barnet 023A,5,Household is deprived in four dimensions,0
E01000198,Barnet 025A,-8,Does not apply,0
E01000198,Barnet 025A,1,Household is not deprived in any dimension,446
E01000198,Barnet 025A,2,Household is deprived in one dimension,231
E01000198,Barnet 025A,3,Household is deprived in two dimensions,78
E01000198,Barnet 025A,4,Household is deprived in three dimensions,21
E01000198,Barnet 025A,5,Household is deprived in four dimensions,3
E01000199,Barnet 025B,-8,Does not apply,0
E01000199,Barnet 025B,1,Household is not deprived in any dimension,375
E01000199,Barnet 025B,2,Household is deprived in one dimension,214
E01000199,Barnet 025B,3,Household is deprived in two dimensions,56
E01000199,Barnet 025B,4,Household is deprived in three dimensions,12
E01000199,Barnet 025B,5,Household is deprived in four dimensions,1
E01000200,Barnet 028B,-8,Does not apply,0
E01000200,Barnet 028B,1,Household is not deprived in any dimension,453
E01000200,Barnet 028B,2,Household is deprived in one dimension,290
E01000200,Barnet 028B,3,Household is deprived in two dimensions,118
E01000200,Barnet 028B,4,Household is deprived in three dimensions,13
E01000200,Barnet 028B,5,Household is deprived in four dimensions,1
E01000201,Barnet 028C,-8,Does not apply,0
E01000201,Barnet 028C,1,Household is not deprived in any dimension,340
E01000201,Barnet 028C,2,Household is deprived in one dimension,146
E01000201,Barnet 028C,3,Household is deprived in two dimensions,34
E01000201,Barnet 028C,4,Household is deprived in three dimensions,6
E01000201,Barnet 028C,5,Household is deprived in four dimensions,1
E01000202,Barnet 028D,-8,Does not apply,0
E01000202,Barnet 028D,1,Household is not deprived in any dimension,348
E01000202,Barnet 028D,2,Household is deprived in one dimension,202
E01000202,Barnet 028D,3,Household is deprived in two dimensions,57
E01000202,Barnet 028D,4,Household is deprived in three dimensions,6
E01000202,Barnet 028D,5,Household is deprived in four dimensions,2
E01000203,Barnet 028E,-8,Does not apply,0
E01000203,Barnet 028E,1,Household is not deprived in any dimension,317
E01000203,Barnet 028E,2,Household is deprived in one dimension,215
E01000203,Barnet 028E,3,Household is deprived in two dimensions,92
E01000203,Barnet 028E,4,Household is deprived in three dimensions,47
E01000203,Barnet 028E,5,Household is deprived in four dimensions,13
E01000204,Barnet 025C,-8,Does not apply,0
E01000204,Barnet 025C,1,Household is not deprived in any dimension,372
E01000204,Barnet 025C,2,Household is deprived in one dimension,222
E01000204,Barnet 025C,3,Household is deprived in two dimensions,73
E01000204,Barnet 025C,4,Household is deprived in three dimensions,20
E01000204,Barnet 025C,5,Household is deprived in four dimensions,5
E01000205,Barnet 035A,-8,Does not apply,0
E01000205,Barnet 035A,1,Household is not deprived in any dimension,419
E01000205,Barnet 035A,2,Household is deprived in one dimension,153
E01000205,Barnet 035A,3,Household is deprived in two dimensions,26
E01000205,Barnet 035A,4,Household is deprived in three dimensions,4
E01000205,Barnet 035A,5,Household is deprived in four dimensions,1
E01000206,Barnet 033B,-8,Does not apply,0
E01000206,Barnet 033B,1,Household is not deprived in any dimension,386
E01000206,Barnet 033B,2,Household is deprived in one dimension,119
E01000206,Barnet 033B,3,Household is deprived in two dimensions,16
E01000206,Barnet 033B,4,Household is deprived in three dimensions,2
E01000206,Barnet 033B,5,Household is deprived in four dimensions,0
E01000207,Barnet 033C,-8,Does not apply,0
E01000207,Barnet 033C,1,Household is not deprived in any dimension,387
E01000207,Barnet 033C,2,Household is deprived in one dimension,186
E01000207,Barnet 033C,3,Household is deprived in two dimensions,64
E01000207,Barnet 033C,4,Household is deprived in three dimensions,7
E01000207,Barnet 033C,5,Household is deprived in four dimensions,2
E01000208,Barnet 033D,-8,Does not apply,0
E01000208,Barnet 033D,1,Household is not deprived in any dimension,416
E01000208,Barnet 033D,2,Household is deprived in one dimension,181
E01000208,Barnet 033D,3,Household is deprived in two dimensions,31
E01000208,Barnet 033D,4,Household is deprived in three dimensions,6
E01000208,Barnet 033D,5,Household is deprived in four dimensions,1
E01000209,Barnet 035B,-8,Does not apply,0
E01000209,Barnet 035B,1,Household is not deprived in any dimension,443
E01000209,Barnet 035B,2,Household is deprived in one dimension,216
E01000209,Barnet 035B,3,Household is deprived in two dimensions,71
E01000209,Barnet 035B,4,Household is deprived in three dimensions,12
E01000209,Barnet 035B,5,Household is deprived in four dimensions,1
E01000210,Barnet 033E,-8,Does not apply,0
E01000210,Barnet 033E,1,Household is not deprived in any dimension,394
E01000210,Barnet 033E,2,Household is deprived in one dimension,151
E01000210,Barnet 033E,3,Household is deprived in two dimensions,34
E01000210,Barnet 033E,4,Household is deprived in three dimensions,5
E01000210,Barnet 033E,5,Household is deprived in four dimensions,1
E01000211,Barnet 035C,-8,Does not apply,0
E01000211,Barnet 035C,1,Household is not deprived in any dimension,359
E01000211,Barnet 035C,2,Household is deprived in one dimension,340
E01000211,Barnet 035C,3,Household is deprived in two dimensions,169
E01000211,Barnet 035C,4,Household is deprived in three dimensions,50
E01000211,Barnet 035C,5,Household is deprived in four dimensions,7
E01000212,Barnet 035D,-8,Does not apply,0
E01000212,Barnet 035D,1,Household is not deprived in any dimension,315
E01000212,Barnet 035D,2,Household is deprived in one dimension,170
E01000212,Barnet 035D,3,Household is deprived in two dimensions,54
E01000212,Barnet 035D,4,Household is deprived in three dimensions,10
E01000212,Barnet 035D,5,Household is deprived in four dimensions,3
E01000213,Barnet 033F,-8,Does not apply,0
E01000213,Barnet 033F,1,Household is not deprived in any dimension,308
E01000213,Barnet 033F,2,Household is deprived in one dimension,112
E01000213,Barnet 033F,3,Household is deprived in two dimensions,26
E01000213,Barnet 033F,4,Household is deprived in three dimensions,4
E01000213,Barnet 033F,5,Household is deprived in four dimensions,2
E01000214,Barnet 038E,-8,Does not apply,0
E01000214,Barnet 038E,1,Household is not deprived in any dimension,468
E01000214,Barnet 038E,2,Household is deprived in one dimension,232
E01000214,Barnet 038E,3,Household is deprived in two dimensions,62
E01000214,Barnet 038E,4,Household is deprived in three dimensions,8
E01000214,Barnet 038E,5,Household is deprived in four dimensions,1
E01000215,Barnet 037B,-8,Does not apply,0
E01000215,Barnet 037B,1,Household is not deprived in any dimension,323
E01000215,Barnet 037B,2,Household is deprived in one dimension,246
E01000215,Barnet 037B,3,Household is deprived in two dimensions,103
E01000215,Barnet 037B,4,Household is deprived in three dimensions,29
E01000215,Barnet 037B,5,Household is deprived in four dimensions,6
E01000216,Barnet 035E,-8,Does not apply,0
E01000216,Barnet 035E,1,Household is not deprived in any dimension,370
E01000216,Barnet 035E,2,Household is deprived in one dimension,246
E01000216,Barnet 035E,3,Household is deprived in two dimensions,67
E01000216,Barnet 035E,4,Household is deprived in three dimensions,34
E01000216,Barnet 035E,5,Household is deprived in four dimensions,5
E01000217,Barnet 035F,-8,Does not apply,0
E01000217,Barnet 035F,1,Household is not deprived in any dimension,309
E01000217,Barnet 035F,2,Household is deprived in one dimension,162
E01000217,Barnet 035F,3,Household is deprived in two dimensions,67
E01000217,Barnet 035F,4,Household is deprived in three dimensions,14
E01000217,Barnet 035F,5,Household is deprived in four dimensions,1
E01000218,Barnet 037C,-8,Does not apply,0
E01000218,Barnet 037C,1,Household is not deprived in any dimension,279
E01000218,Barnet 037C,2,Household is deprived in one dimension,194
E01000218,Barnet 037C,3,Household is deprived in two dimensions,83
E01000218,Barnet 037C,4,Household is deprived in three dimensions,18
E01000218,Barnet 037C,5,Household is deprived in four dimensions,10
E01000219,Barnet 037D,-8,Does not apply,0
E01000219,Barnet 037D,1,Household is not deprived in any dimension,272
E01000219,Barnet 037D,2,Household is deprived in one dimension,235
E01000219,Barnet 037D,3,Household is deprived in two dimensions,98
E01000219,Barnet 037D,4,Household is deprived in three dimensions,38
E01000219,Barnet 037D,5,Household is deprived in four dimensions,15
E01000220,Barnet 037E,-8,Does not apply,0
E01000220,Barnet 037E,1,Household is not deprived in any dimension,302
E01000220,Barnet 037E,2,Household is deprived in one dimension,229
E01000220,Barnet 037E,3,Household is deprived in two dimensions,119
E01000220,Barnet 037E,4,Household is deprived in three dimensions,26
E01000220,Barnet 037E,5,Household is deprived in four dimensions,4
E01000221,Barnet 039B,-8,Does not apply,0
E01000221,Barnet 039B,1,Household is not deprived in any dimension,141
E01000221,Barnet 039B,2,Household is deprived in one dimension,195
E01000221,Barnet 039B,3,Household is deprived in two dimensions,137
E01000221,Barnet 039B,4,Household is deprived in three dimensions,50
E01000221,Barnet 039B,5,Household is deprived in four dimensions,5
E01000222,Barnet 040C,-8,Does not apply,0
E01000222,Barnet 040C,1,Household is not deprived in any dimension,335
E01000222,Barnet 040C,2,Household is deprived in one dimension,255
E01000222,Barnet 040C,3,Household is deprived in two dimensions,91
E01000222,Barnet 040C,4,Household is deprived in three dimensions,38
E01000222,Barnet 040C,5,Household is deprived in four dimensions,11
E01000223,Barnet 039C,-8,Does not apply,0
E01000223,Barnet 039C,1,Household is not deprived in any dimension,282
E01000223,Barnet 039C,2,Household is deprived in one dimension,283
E01000223,Barnet 039C,3,Household is deprived in two dimensions,128
E01000223,Barnet 039C,4,Household is deprived in three dimensions,45
E01000223,Barnet 039C,5,Household is deprived in four dimensions,8
E01000224,Barnet 040D,-8,Does not apply,0
E01000224,Barnet 040D,1,Household is not deprived in any dimension,239
E01000224,Barnet 040D,2,Household is deprived in one dimension,203
E01000224,Barnet 040D,3,Household is deprived in two dimensions,99
E01000224,Barnet 040D,4,Household is deprived in three dimensions,14
E01000224,Barnet 040D,5,Household is deprived in four dimensions,2
E01000225,Barnet 037F,-8,Does not apply,0
E01000225,Barnet 037F,1,Household is not deprived in any dimension,270
E01000225,Barnet 037F,2,Household is deprived in one dimension,196
E01000225,Barnet 037F,3,Household is deprived in two dimensions,83
E01000225,Barnet 037F,4,Household is deprived in three dimensions,24
E01000225,Barnet 037F,5,Household is deprived in four dimensions,5
E01000226,Barnet 018D,-8,Does not apply,0
E01000226,Barnet 018D,1,Household is not deprived in any dimension,227
E01000226,Barnet 018D,2,Household is deprived in one dimension,212
E01000226,Barnet 018D,3,Household is deprived in two dimensions,124
E01000226,Barnet 018D,4,Household is deprived in three dimensions,37
E01000226,Barnet 018D,5,Household is deprived in four dimensions,2
E01000227,Barnet 018E,-8,Does not apply,0
E01000227,Barnet 018E,1,Household is not deprived in any dimension,359
E01000227,Barnet 018E,2,Household is deprived in one dimension,172
E01000227,Barnet 018E,3,Household is deprived in two dimensions,58
E01000227,Barnet 018E,4,Household is deprived in three dimensions,10
E01000227,Barnet 018E,5,Household is deprived in four dimensions,0
E01000228,Barnet 007A,-8,Does not apply,0
E01000228,Barnet 007A,1,Household is not deprived in any dimension,257
E01000228,Barnet 007A,2,Household is deprived in one dimension,137
E01000228,Barnet 007A,3,Household is deprived in two dimensions,51
E01000228,Barnet 007A,4,Household is deprived in three dimensions,12
E01000228,Barnet 007A,5,Household is deprived in four dimensions,2
E01000229,Barnet 013B,-8,Does not apply,0
E01000229,Barnet 013B,1,Household is not deprived in any dimension,259
E01000229,Barnet 013B,2,Household is deprived in one dimension,206
E01000229,Barnet 013B,3,Household is deprived in two dimensions,85
E01000229,Barnet 013B,4,Household is deprived in three dimensions,33
E01000229,Barnet 013B,5,Household is deprived in four dimensions,0
E01000230,Barnet 013C,-8,Does not apply,0
E01000230,Barnet 013C,1,Household is not deprived in any dimension,322
E01000230,Barnet 013C,2,Household is deprived in one dimension,255
E01000230,Barnet 013C,3,Household is deprived in two dimensions,69
E01000230,Barnet 013C,4,Household is deprived in three dimensions,12
E01000230,Barnet 013C,5,Household is deprived in four dimensions,1
E01000231,Barnet 013D,-8,Does not apply,0
E01000231,Barnet 013D,1,Household is not deprived in any dimension,303
E01000231,Barnet 013D,2,Household is deprived in one dimension,214
E01000231,Barnet 013D,3,Household is deprived in two dimensions,80
E01000231,Barnet 013D,4,Household is deprived in three dimensions,20
E01000231,Barnet 013D,5,Household is deprived in four dimensions,2
E01000232,Barnet 013E,-8,Does not apply,0
E01000232,Barnet 013E,1,Household is not deprived in any dimension,381
E01000232,Barnet 013E,2,Household is deprived in one dimension,216
E01000232,Barnet 013E,3,Household is deprived in two dimensions,91
E01000232,Barnet 013E,4,Household is deprived in three dimensions,14
E01000232,Barnet 013E,5,Household is deprived in four dimensions,2
E01000233,Barnet 013F,-8,Does not apply,0
E01000233,Barnet 013F,1,Household is not deprived in any dimension,374
E01000233,Barnet 013F,2,Household is deprived in one dimension,206
E01000233,Barnet 013F,3,Household is deprived in two dimensions,64
E01000233,Barnet 013F,4,Household is deprived in three dimensions,12
E01000233,Barnet 013F,5,Household is deprived in four dimensions,2
E01000234,Barnet 021D,-8,Does not apply,0
E01000234,Barnet 021D,1,Household is not deprived in any dimension,393
E01000234,Barnet 021D,2,Household is deprived in one dimension,207
E01000234,Barnet 021D,3,Household is deprived in two dimensions,67
E01000234,Barnet 021D,4,Household is deprived in three dimensions,9
E01000234,Barnet 021D,5,Household is deprived in four dimensions,0
E01000235,Barnet 021E,-8,Does not apply,0
E01000235,Barnet 021E,1,Household is not deprived in any dimension,265
E01000235,Barnet 021E,2,Household is deprived in one dimension,252
E01000235,Barnet 021E,3,Household is deprived in two dimensions,113
E01000235,Barnet 021E,4,Household is deprived in three dimensions,25
E01000235,Barnet 021E,5,Household is deprived in four dimensions,2
E01000236,Barnet 034A,-8,Does not apply,0
E01000236,Barnet 034A,1,Household is not deprived in any dimension,382
E01000236,Barnet 034A,2,Household is deprived in one dimension,208
E01000236,Barnet 034A,3,Household is deprived in two dimensions,85
E01000236,Barnet 034A,4,Household is deprived in three dimensions,22
E01000236,Barnet 034A,5,Household is deprived in four dimensions,2
E01000237,Barnet 032A,-8,Does not apply,0
E01000237,Barnet 032A,1,Household is not deprived in any dimension,348
E01000237,Barnet 032A,2,Household is deprived in one dimension,267
E01000237,Barnet 032A,3,Household is deprived in two dimensions,91
E01000237,Barnet 032A,4,Household is deprived in three dimensions,17
E01000237,Barnet 032A,5,Household is deprived in four dimensions,1
E01000238,Barnet 034B,-8,Does not apply,0
E01000238,Barnet 034B,1,Household is not deprived in any dimension,303
E01000238,Barnet 034B,2,Household is deprived in one dimension,223
E01000238,Barnet 034B,3,Household is deprived in two dimensions,95
E01000238,Barnet 034B,4,Household is deprived in three dimensions,18
E01000238,Barnet 034B,5,Household is deprived in four dimensions,5
E01000239,Barnet 031A,-8,Does not apply,0
E01000239,Barnet 031A,1,Household is not deprived in any dimension,380
E01000239,Barnet 031A,2,Household is deprived in one dimension,320
E01000239,Barnet 031A,3,Household is deprived in two dimensions,165
E01000239,Barnet 031A,4,Household is deprived in three dimensions,63
E01000239,Barnet 031A,5,Household is deprived in four dimensions,6
E01000240,Barnet 031B,-8,Does not apply,0
E01000240,Barnet 031B,1,Household is not deprived in any dimension,320
E01000240,Barnet 031B,2,Household is deprived in one dimension,197
E01000240,Barnet 031B,3,Household is deprived in two dimensions,92
E01000240,Barnet 031B,4,Household is deprived in three dimensions,13
E01000240,Barnet 031B,5,Household is deprived in four dimensions,3
E01000241,Barnet 031C,-8,Does not apply,0
E01000241,Barnet 031C,1,Household is not deprived in any dimension,367
E01000241,Barnet 031C,2,Household is deprived in one dimension,219
E01000241,Barnet 031C,3,Household is deprived in two dimensions,97
E01000241,Barnet 031C,4,Household is deprived in three dimensions,11
E01000241,Barnet 031C,5,Household is deprived in four dimensions,7
E01000242,Barnet 032B,-8,Does not apply,0
E01000242,Barnet 032B,1,Household is not deprived in any dimension,302
E01000242,Barnet 032B,2,Household is deprived in one dimension,211
E01000242,Barnet 032B,3,Household is deprived in two dimensions,64
E01000242,Barnet 032B,4,Household is deprived in three dimensions,16
E01000242,Barnet 032B,5,Household is deprived in four dimensions,3
E01000243,Barnet 032C,-8,Does not apply,0
E01000243,Barnet 032C,1,Household is not deprived in any dimension,350
E01000243,Barnet 032C,2,Household is deprived in one dimension,347
E01000243,Barnet 032C,3,Household is deprived in two dimensions,170
E01000243,Barnet 032C,4,Household is deprived in three dimensions,31
E01000243,Barnet 032C,5,Household is deprived in four dimensions,3
E01000244,Barnet 032D,-8,Does not apply,0
E01000244,Barnet 032D,1,Household is not deprived in any dimension,250
E01000244,Barnet 032D,2,Household is deprived in one dimension,253
E01000244,Barnet 032D,3,Household is deprived in two dimensions,98
E01000244,Barnet 032D,4,Household is deprived in three dimensions,20
E01000244,Barnet 032D,5,Household is deprived in four dimensions,4
E01000245,Barnet 032E,-8,Does not apply,0
E01000245,Barnet 032E,1,Household is not deprived in any dimension,272
E01000245,Barnet 032E,2,Household is deprived in one dimension,347
E01000245,Barnet 032E,3,Household is deprived in two dimensions,180
E01000245,Barnet 032E,4,Household is deprived in three dimensions,72
E01000245,Barnet 032E,5,Household is deprived in four dimensions,6
E01000246,Barnet 002B,-8,Does not apply,0
E01000246,Barnet 002B,1,Household is not deprived in any dimension,359
E01000246,Barnet 002B,2,Household is deprived in one dimension,218
E01000246,Barnet 002B,3,Household is deprived in two dimensions,55
E01000246,Barnet 002B,4,Household is deprived in three dimensions,11
E01000246,Barnet 002B,5,Household is deprived in four dimensions,0
E01000247,Barnet 002C,-8,Does not apply,0
E01000247,Barnet 002C,1,Household is not deprived in any dimension,392
E01000247,Barnet 002C,2,Household is deprived in one dimension,229
E01000247,Barnet 002C,3,Household is deprived in two dimensions,77
E01000247,Barnet 002C,4,Household is deprived in three dimensions,27
E01000247,Barnet 002C,5,Household is deprived in four dimensions,6
E01000248,Barnet 001A,-8,Does not apply,0
E01000248,Barnet 001A,1,Household is not deprived in any dimension,415
E01000248,Barnet 001A,2,Household is deprived in one dimension,243
E01000248,Barnet 001A,3,Household is deprived in two dimensions,49
E01000248,Barnet 001A,4,Household is deprived in three dimensions,11
E01000248,Barnet 001A,5,Household is deprived in four dimensions,0
E01000249,Barnet 001B,-8,Does not apply,0
E01000249,Barnet 001B,1,Household is not deprived in any dimension,381
E01000249,Barnet 001B,2,Household is deprived in one dimension,178
E01000249,Barnet 001B,3,Household is deprived in two dimensions,51
E01000249,Barnet 001B,4,Household is deprived in three dimensions,7
E01000249,Barnet 001B,5,Household is deprived in four dimensions,0
E01000250,Barnet 001C,-8,Does not apply,0
E01000250,Barnet 001C,1,Household is not deprived in any dimension,565
E01000250,Barnet 001C,2,Household is deprived in one dimension,405
E01000250,Barnet 001C,3,Household is deprived in two dimensions,140
E01000250,Barnet 001C,4,Household is deprived in three dimensions,32
E01000250,Barnet 001C,5,Household is deprived in four dimensions,3
E01000251,Barnet 002D,-8,Does not apply,0
E01000251,Barnet 002D,1,Household is not deprived in any dimension,433
E01000251,Barnet 002D,2,Household is deprived in one dimension,356
E01000251,Barnet 002D,3,Household is deprived in two dimensions,186
E01000251,Barnet 002D,4,Household is deprived in three dimensions,71
E01000251,Barnet 002D,5,Household is deprived in four dimensions,11
E01000252,Barnet 002E,-8,Does not apply,0
E01000252,Barnet 002E,1,Household is not deprived in any dimension,402
E01000252,Barnet 002E,2,Household is deprived in one dimension,250
E01000252,Barnet 002E,3,Household is deprived in two dimensions,119
E01000252,Barnet 002E,4,Household is deprived in three dimensions,20
E01000252,Barnet 002E,5,Household is deprived in four dimensions,2
E01000253,Barnet 007B,-8,Does not apply,0
E01000253,Barnet 007B,1,Household is not deprived in any dimension,477
E01000253,Barnet 007B,2,Household is deprived in one dimension,179
E01000253,Barnet 007B,3,Household is deprived in two dimensions,48
E01000253,Barnet 007B,4,Household is deprived in three dimensions,6
E01000253,Barnet 007B,5,Household is deprived in four dimensions,0
E01000254,Barnet 001D,-8,Does not apply,0
E01000254,Barnet 001D,1,Household is not deprived in any dimension,388
E01000254,Barnet 001D,2,Household is deprived in one dimension,194
E01000254,Barnet 001D,3,Household is deprived in two dimensions,47
E01000254,Barnet 001D,4,Household is deprived in three dimensions,4
E01000254,Barnet 001D,5,Household is deprived in four dimensions,0
E01000255,Barnet 017A,-8,Does not apply,0
E01000255,Barnet 017A,1,Household is not deprived in any dimension,295
E01000255,Barnet 017A,2,Household is deprived in one dimension,203
E01000255,Barnet 017A,3,Household is deprived in two dimensions,104
E01000255,Barnet 017A,4,Household is deprived in three dimensions,30
E01000255,Barnet 017A,5,Household is deprived in four dimensions,0
E01000256,Barnet 016A,-8,Does not apply,0
E01000256,Barnet 016A,1,Household is not deprived in any dimension,380
E01000256,Barnet 016A,2,Household is deprived in one dimension,236
E01000256,Barnet 016A,3,Household is deprived in two dimensions,48
E01000256,Barnet 016A,4,Household is deprived in three dimensions,12
E01000256,Barnet 016A,5,Household is deprived in four dimensions,1
E01000257,Barnet 017B,-8,Does not apply,0
E01000257,Barnet 017B,1,Household is not deprived in any dimension,423
E01000257,Barnet 017B,2,Household is deprived in one dimension,276
E01000257,Barnet 017B,3,Household is deprived in two dimensions,163
E01000257,Barnet 017B,4,Household is deprived in three dimensions,47
E01000257,Barnet 017B,5,Household is deprived in four dimensions,4
E01000258,Barnet 016B,-8,Does not apply,0
E01000258,Barnet 016B,1,Household is not deprived in any dimension,429
E01000258,Barnet 016B,2,Household is deprived in one dimension,241
E01000258,Barnet 016B,3,Household is deprived in two dimensions,73
E01000258,Barnet 016B,4,Household is deprived in three dimensions,36
E01000258,Barnet 016B,5,Household is deprived in four dimensions,1
E01000259,Barnet 025D,-8,Does not apply,0
E01000259,Barnet 025D,1,Household is not deprived in any dimension,556
E01000259,Barnet 025D,2,Household is deprived in one dimension,271
E01000259,Barnet 025D,3,Household is deprived in two dimensions,131
E01000259,Barnet 025D,4,Household is deprived in three dimensions,22
E01000259,Barnet 025D,5,Household is deprived in four dimensions,0
E01000260,Barnet 025E,-8,Does not apply,0
E01000260,Barnet 025E,1,Household is not deprived in any dimension,436
E01000260,Barnet 025E,2,Household is deprived in one dimension,278
E01000260,Barnet 025E,3,Household is deprived in two dimensions,103
E01000260,Barnet 025E,4,Household is deprived in three dimensions,21
E01000260,Barnet 025E,5,Household is deprived in four dimensions,2
E01000261,Barnet 017C,-8,Does not apply,0
E01000261,Barnet 017C,1,Household is not deprived in any dimension,397
E01000261,Barnet 017C,2,Household is deprived in one dimension,208
E01000261,Barnet 017C,3,Household is deprived in two dimensions,68
E01000261,Barnet 017C,4,Household is deprived in three dimensions,5
E01000261,Barnet 017C,5,Household is deprived in four dimensions,0
E01000263,Barnet 016C,-8,Does not apply,0
E01000263,Barnet 016C,1,Household is not deprived in any dimension,342
E01000263,Barnet 016C,2,Household is deprived in one dimension,130
E01000263,Barnet 016C,3,Household is deprived in two dimensions,23
E01000263,Barnet 016C,4,Household is deprived in three dimensions,6
E01000263,Barnet 016C,5,Household is deprived in four dimensions,0
E01000264,Barnet 016D,-8,Does not apply,0
E01000264,Barnet 016D,1,Household is not deprived in any dimension,349
E01000264,Barnet 016D,2,Household is deprived in one dimension,250
E01000264,Barnet 016D,3,Household is deprived in two dimensions,88
E01000264,Barnet 016D,4,Household is deprived in three dimensions,25
E01000264,Barnet 016D,5,Household is deprived in four dimensions,4
E01000265,Barnet 011A,-8,Does not apply,0
E01000265,Barnet 011A,1,Household is not deprived in any dimension,354
E01000265,Barnet 011A,2,Household is deprived in one dimension,269
E01000265,Barnet 011A,3,Household is deprived in two dimensions,112
E01000265,Barnet 011A,4,Household is deprived in three dimensions,32
E01000265,Barnet 011A,5,Household is deprived in four dimensions,4
E01000266,Barnet 011B,-8,Does not apply,0
E01000266,Barnet 011B,1,Household is not deprived in any dimension,338
E01000266,Barnet 011B,2,Household is deprived in one dimension,132
E01000266,Barnet 011B,3,Household is deprived in two dimensions,33
E01000266,Barnet 011B,4,Household is deprived in three dimensions,4
E01000266,Barnet 011B,5,Household is deprived in four dimensions,0
E01000267,Barnet 005A,-8,Does not apply,0
E01000267,Barnet 005A,1,Household is not deprived in any dimension,350
E01000267,Barnet 005A,2,Household is deprived in one dimension,166
E01000267,Barnet 005A,3,Household is deprived in two dimensions,52
E01000267,Barnet 005A,4,Household is deprived in three dimensions,10
E01000267,Barnet 005A,5,Household is deprived in four dimensions,1
E01000268,Barnet 005B,-8,Does not apply,0
E01000268,Barnet 005B,1,Household is not deprived in any dimension,485
E01000268,Barnet 005B,2,Household is deprived in one dimension,285
E01000268,Barnet 005B,3,Household is deprived in two dimensions,132
E01000268,Barnet 005B,4,Household is deprived in three dimensions,28
E01000268,Barnet 005B,5,Household is deprived in four dimensions,5
E01000269,Barnet 005C,-8,Does not apply,0
E01000269,Barnet 005C,1,Household is not deprived in any dimension,299
E01000269,Barnet 005C,2,Household is deprived in one dimension,179
E01000269,Barnet 005C,3,Household is deprived in two dimensions,55
E01000269,Barnet 005C,4,Household is deprived in three dimensions,11
E01000269,Barnet 005C,5,Household is deprived in four dimensions,3
E01000270,Barnet 005D,-8,Does not apply,0
E01000270,Barnet 005D,1,Household is not deprived in any dimension,345
E01000270,Barnet 005D,2,Household is deprived in one dimension,211
E01000270,Barnet 005D,3,Household is deprived in two dimensions,69
E01000270,Barnet 005D,4,Household is deprived in three dimensions,9
E01000270,Barnet 005D,5,Household is deprived in four dimensions,0
E01000271,Barnet 008A,-8,Does not apply,0
E01000271,Barnet 008A,1,Household is not deprived in any dimension,333
E01000271,Barnet 008A,2,Household is deprived in one dimension,209
E01000271,Barnet 008A,3,Household is deprived in two dimensions,60
E01000271,Barnet 008A,4,Household is deprived in three dimensions,11
E01000271,Barnet 008A,5,Household is deprived in four dimensions,0
E01000272,Barnet 008B,-8,Does not apply,0
E01000272,Barnet 008B,1,Household is not deprived in any dimension,349
E01000272,Barnet 008B,2,Household is deprived in one dimension,119
E01000272,Barnet 008B,3,Household is deprived in two dimensions,25
E01000272,Barnet 008B,4,Household is deprived in three dimensions,4
E01000272,Barnet 008B,5,Household is deprived in four dimensions,1
E01000273,Barnet 008C,-8,Does not apply,0
E01000273,Barnet 008C,1,Household is not deprived in any dimension,370
E01000273,Barnet 008C,2,Household is deprived in one dimension,241
E01000273,Barnet 008C,3,Household is deprived in two dimensions,98
E01000273,Barnet 008C,4,Household is deprived in three dimensions,30
E01000273,Barnet 008C,5,Household is deprived in four dimensions,3
E01000274,Barnet 011C,-8,Does not apply,0
E01000274,Barnet 011C,1,Household is not deprived in any dimension,313
E01000274,Barnet 011C,2,Household is deprived in one dimension,257
E01000274,Barnet 011C,3,Household is deprived in two dimensions,92
E01000274,Barnet 011C,4,Household is deprived in three dimensions,34
E01000274,Barnet 011C,5,Household is deprived in four dimensions,2
E01000275,Barnet 012A,-8,Does not apply,0
E01000275,Barnet 012A,1,Household is not deprived in any dimension,394
E01000275,Barnet 012A,2,Household is deprived in one dimension,208
E01000275,Barnet 012A,3,Household is deprived in two dimensions,51
E01000275,Barnet 012A,4,Household is deprived in three dimensions,12
E01000275,Barnet 012A,5,Household is deprived in four dimensions,1
E01000276,Barnet 020A,-8,Does not apply,0
E01000276,Barnet 020A,1,Household is not deprived in any dimension,347
E01000276,Barnet 020A,2,Household is deprived in one dimension,122
E01000276,Barnet 020A,3,Household is deprived in two dimensions,22
E01000276,Barnet 020A,4,Household is deprived in three dimensions,6
E01000276,Barnet 020A,5,Household is deprived in four dimensions,0
E01000277,Barnet 012B,-8,Does not apply,0
E01000277,Barnet 012B,1,Household is not deprived in any dimension,345
E01000277,Barnet 012B,2,Household is deprived in one dimension,262
E01000277,Barnet 012B,3,Household is deprived in two dimensions,102
E01000277,Barnet 012B,4,Household is deprived in three dimensions,31
E01000277,Barnet 012B,5,Household is deprived in four dimensions,4
E01000278,Barnet 020B,-8,Does not apply,0
E01000278,Barnet 020B,1,Household is not deprived in any dimension,327
E01000278,Barnet 020B,2,Household is deprived in one dimension,144
E01000278,Barnet 020B,3,Household is deprived in two dimensions,29
E01000278,Barnet 020B,4,Household is deprived in three dimensions,3
