Lower layer Super Output Areas Code,Lower layer Super Output Areas,Household deprivation (6 categories) Code,Household deprivation (6 categories),Observation
E01000134,Barnet 024F,1,Household is not deprived in any dimension,207
E01000134,Barnet 024F,2,Household is deprived in one dimension,261
E01000134,Barnet 024F,3,Household is deprived in two dimensions,134
E01000134,Barnet 024F,4,Household is deprived in three dimensions,32
E01000134,Barnet 024F,5,Household is deprived in four dimensions,1
E01000135,Barnet 038A,-8,Does not apply,0
E01000135,Barnet 038A,1,Household is not deprived in any dimension,350
E01000135,Barnet 038A,2,Household is deprived in one dimension,187
E01000135,Barnet 038A,3,Household is deprived in two dimensions,68
E01000135,Barnet 038A,4,Household is deprived in three dimensions,15
E01000135,Barnet 038A,5,Household is deprived in four dimensions,4
E01000136,Barnet 038B,-8,Does not apply,0
E01000136,Barnet 038B,1,Household is not deprived in any dimension,357
E01000136,Barnet 038B,2,Household is deprived in one dimension,151
E01000136,Barnet 038B,3,Household is deprived in two dimensions,47
E01000136,Barnet 038B,4,Household is deprived in three dimensions,8
E01000136,Barnet 038B,5,Household is deprived in four dimensions,1
E01000137,Barnet 041A,-8,Does not apply,0
E01000137,Barnet 041A,1,Household is not deprived in any dimension,254
E01000137,Barnet 041A,2,Household is deprived in one dimension,242
E01000137,Barnet 041A,3,Household is deprived in two dimensions,129
E01000137,Barnet 041A,4,Household is deprived in three dimensions,42
E01000137,Barnet 041A,5,Household is deprived in four dimensions,4
E01000138,Barnet 040A,-8,Does not apply,0
E01000138,Barnet 040A,1,Household is not deprived in any dimension,281
E01000138,Barnet 040A,2,Household is deprived in one dimension,220
E01000138,Barnet 040A,3,Household is deprived in two dimensions,100
E01000138,Barnet 040A,4,Household is deprived in three dimensions,46
E01000138,Barnet 040A,5,Household is deprived in four dimensions,8
E01000139,Barnet 041B,-8,Does not apply,0
E01000139,Barnet 041B,1,Household is not deprived in any dimension,306
E01000139,Barnet 041B,2,Household is deprived in one dimension,160
E01000139,Barnet 041B,3,Household is deprived in two dimensions,61
