"Address"	Latitude	Longitude	Easting	Northing
"N12 8BG"	51.618498	-0.180821	526042	192642
"NW11 6JJ (2)"	51.585634	-0.182712	526002	188984
"EN4 8SF"	51.645018	-0.163372	527176	195621
"N3 2JB"	51.60246	-0.182592	525964	190855
"HA8 0EP"	51.60162	-0.260352	520581	190631
"NW4 4TN (3)"	51.599856	-0.234934	522346	190477
"NW11 8AU"	51.576058	-0.201253	524744	187887
"NW11 8JL (3)"	51.574271	-0.197932	524979	187694
"NW4 2TL (2)"	51.583723	-0.222139	523276	188704
"NW11 7TA"	51.570476	-0.187952	525681	187289
"EN4 8PP"	51.633592	-0.152314	527973	194370
"NW11 9TP"	51.575879	-0.210713	524089	187851
"NW4 4JU"	51.591391	-0.226127	522979	189550
"NW11 0DG"	51.58385	-0.200945	524744	188754
"NW2 2PH"	51.559826	-0.197893	525021	186088
"NW11 8JY"	51.572443	-0.197365	525023	187492
"NW9 5YZ"	51.59566	-0.253765	521053	189979
"NW11 7HA (4)"	51.576669	-0.197342	525013	187962
"NW2 2TP"	51.560895	-0.197822	525023	186207
"NW4 4UY (2)"	51.596429	-0.233103	522482	190099
"N3 3AE"	51.594945	-0.203419	524542	189984
"NW4 3TN"	51.578227	-0.226178	523011	188086
"NW4 3EN"	51.581237	-0.233739	522479	188408
"NW11 9AH"	51.577039	-0.203303	524599	187993
"NW9 6HR"	51.588819	-0.249711	521352	189225
"NW11 6JY"	51.586089	-0.182506	526015	189035
"NW4 4HG"	51.585845	-0.234885	522387	188919
"NW4 4XJ"	51.588496	-0.23357	522471	189216
"N11 1BY (2)"	51.621165	-0.137914	529005	193013
"NW4 4LD"	51.589157	-0.225868	523003	189302
"NW4 4RS (2)"	51.586335	-0.232167	522574	188978
"N3 3SL"	51.595949	-0.204769	524446	190093
"NW9 5WA"	51.60166	-0.253318	521068	190647
"N3 2BP (2)"	51.601746	-0.190169	525441	190763
"N3 2BP"	51.601746	-0.190169	525441	190763
"N20 0QA (2)"	51.623322	-0.176818	526306	193185
"NW11 9DP (2)"	51.573501	-0.209518	524178	187589
