Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01000176,Barnet 027A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,38
E01000176,Barnet 027A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,49
E01000176,Barnet 027A,13,"White: English, Welsh, Scottish, Northern Irish or British",796
E01000176,Barnet 027A,14,White: Irish,82
E01000176,Barnet 027A,15,White: Gypsy or Irish Traveller,0
E01000176,Barnet 027A,16,White: Roma,3
E01000176,Barnet 027A,17,White: Other White,183
E01000176,Barnet 027A,18,Other ethnic group: Arab,16
E01000176,Barnet 027A,19,Other ethnic group: Any other ethnic group,94
E01000177,Barnet 029A,-8,Does not apply,0
E01000177,Barnet 029A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",21
E01000177,Barnet 029A,2,"Asian, Asian British or Asian Welsh: Chinese",12
E01000177,Barnet 029A,3,"Asian, Asian British or Asian Welsh: Indian",60
E01000177,Barnet 029A,4,"Asian, Asian British or Asian Welsh: Pakistani",29
E01000177,Barnet 029A,5,"Asian, Asian British or Asian Welsh: Other Asian",50
E01000177,Barnet 029A,6,"Black, Black British, Black Welsh, Caribbean or African: African",23
E01000177,Barnet 029A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",12
E01000177,Barnet 029A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4
E01000177,Barnet 029A,9,Mixed or Multiple ethnic groups: White and Asian,27
E01000177,Barnet 029A,10,Mixed or Multiple ethnic groups: White and Black African,11
E01000177,Barnet 029A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,26
E01000177,Barnet 029A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,38
E01000177,Barnet 029A,13,"White: English, Welsh, Scottish, Northern Irish or British",884
E01000177,Barnet 029A,14,White: Irish,58
E01000177,Barnet 029A,15,White: Gypsy or Irish Traveller,0
E01000177,Barnet 029A,16,White: Roma,6
E01000177,Barnet 029A,17,White: Other White,335
E01000177,Barnet 029A,18,Other ethnic group: Arab,7
E01000177,Barnet 029A,19,Other ethnic group: Any other ethnic group,57
E01000178,Barnet 027B,-8,Does not apply,0
E01000178,Barnet 027B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9
E01000178,Barnet 027B,2,"Asian, Asian British or Asian Welsh: Chinese",16
E01000178,Barnet 027B,3,"Asian, Asian British or Asian Welsh: Indian",74
E01000178,Barnet 027B,4,"Asian, Asian British or Asian Welsh: Pakistani",14
E01000178,Barnet 027B,5,"Asian, Asian British or Asian Welsh: Other Asian",51
E01000178,Barnet 027B,6,"Black, Black British, Black Welsh, Caribbean or African: African",55
E01000178,Barnet 027B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",7
E01000178,Barnet 027B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",17
E01000178,Barnet 027B,9,Mixed or Multiple ethnic groups: White and Asian,29
E01000178,Barnet 027B,10,Mixed or Multiple ethnic groups: White and Black African,19
E01000178,Barnet 027B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,12
E01000178,Barnet 027B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,40
E01000178,Barnet 027B,13,"White: English, Welsh, Scottish, Northern Irish or British",838
E01000178,Barnet 027B,14,White: Irish,57
E01000178,Barnet 027B,15,White: Gypsy or Irish Traveller,1
E01000178,Barnet 027B,16,White: Roma,5
E01000178,Barnet 027B,17,White: Other White,311
E01000178,Barnet 027B,18,Other ethnic group: Arab,13
E01000178,Barnet 027B,19,Other ethnic group: Any other ethnic group,102
E01000179,Barnet 029B,-8,Does not apply,0
E01000179,Barnet 029B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7
E01000179,Barnet 029B,2,"Asian, Asian British or Asian Welsh: Chinese",37
E01000179,Barnet 029B,3,"Asian, Asian British or Asian Welsh: Indian",77
E01000179,Barnet 029B,4,"Asian, Asian British or Asian Welsh: Pakistani",16
E01000179,Barnet 029B,5,"Asian, Asian British or Asian Welsh: Other Asian",69
E01000179,Barnet 029B,6,"Black, Black British, Black Welsh, Caribbean or African: African",47
E01000179,Barnet 029B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",26
E01000179,Barnet 029B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",3
E01000179,Barnet 029B,9,Mixed or Multiple ethnic groups: White and Asian,39
E01000179,Barnet 029B,10,Mixed or Multiple ethnic groups: White and Black African,18
E01000179,Barnet 029B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,14
E01000179,Barnet 029B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,40
E01000179,Barnet 029B,13,"White: English, Welsh, Scottish, Northern Irish or British",747
E01000179,Barnet 029B,14,White: Irish,50
E01000179,Barnet 029B,15,White: Gypsy or Irish Traveller,0
E01000179,Barnet 029B,16,White: Roma,3
E01000179,Barnet 029B,17,White: Other White,483
E01000179,Barnet 029B,18,Other ethnic group: Arab,25
E01000179,Barnet 029B,19,Other ethnic group: Any other ethnic group,87
E01000180,Barnet 029C,-8,Does not apply,0
E01000180,Barnet 029C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",8
E01000180,Barnet 029C,2,"Asian, Asian British or Asian Welsh: Chinese",37
E01000180,Barnet 029C,3,"Asian, Asian British or Asian Welsh: Indian",96
E01000180,Barnet 029C,4,"Asian, Asian British or Asian Welsh: Pakistani",10
E01000180,Barnet 029C,5,"Asian, Asian British or Asian Welsh: Other Asian",65
E01000180,Barnet 029C,6,"Black, Black British, Black Welsh, Caribbean or African: African",114
E01000180,Barnet 029C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",12
E01000180,Barnet 029C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9
E01000180,Barnet 029C,9,Mixed or Multiple ethnic groups: White and Asian,27
E01000180,Barnet 029C,10,Mixed or Multiple ethnic groups: White and Black African,26
E01000180,Barnet 029C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,13
E01000180,Barnet 029C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,44
E01000180,Barnet 029C,13,"White: English, Welsh, Scottish, Northern Irish or British",660
E01000180,Barnet 029C,14,White: Irish,30
E01000180,Barnet 029C,15,White: Gypsy or Irish Traveller,0
E01000180,Barnet 029C,16,White: Roma,4
E01000180,Barnet 029C,17,White: Other White,333
E01000180,Barnet 029C,18,Other ethnic group: Arab,27
E01000180,Barnet 029C,19,Other ethnic group: Any other ethnic group,102
E01000181,Barnet 029D,-8,Does not apply,0
E01000181,Barnet 029D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6
E01000181,Barnet 029D,2,"Asian, Asian British or Asian Welsh: Chinese",26
E01000181,Barnet 029D,3,"Asian, Asian British or Asian Welsh: Indian",79
E01000181,Barnet 029D,4,"Asian, Asian British or Asian Welsh: Pakistani",24
E01000181,Barnet 029D,5,"Asian, Asian British or Asian Welsh: Other Asian",54
E01000181,Barnet 029D,6,"Black, Black British, Black Welsh, Caribbean or African: African",15
E01000181,Barnet 029D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10
E01000181,Barnet 029D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",6
E01000181,Barnet 029D,9,Mixed or Multiple ethnic groups: White and Asian,40
E01000181,Barnet 029D,10,Mixed or Multiple ethnic groups: White and Black African,8
E01000181,Barnet 029D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,15
E01000181,Barnet 029D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,43
E01000181,Barnet 029D,13,"White: English, Welsh, Scottish, Northern Irish or British",797
E01000181,Barnet 029D,14,White: Irish,76
E01000181,Barnet 029D,15,White: Gypsy or Irish Traveller,0
E01000181,Barnet 029D,16,White: Roma,4
E01000181,Barnet 029D,17,White: Other White,367
E01000181,Barnet 029D,18,Other ethnic group: Arab,5
E01000181,Barnet 029D,19,Other ethnic group: Any other ethnic group,115
E01000182,Barnet 029E,-8,Does not apply,0
E01000182,Barnet 029E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",6
E01000182,Barnet 029E,2,"Asian, Asian British or Asian Welsh: Chinese",23
E01000182,Barnet 029E,3,"Asian, Asian British or Asian Welsh: Indian",100
E01000182,Barnet 029E,4,"Asian, Asian British or Asian Welsh: Pakistani",9
E01000182,Barnet 029E,5,"Asian, Asian British or Asian Welsh: Other Asian",40
E01000182,Barnet 029E,6,"Black, Black British, Black Welsh, Caribbean or African: African",14
E01000182,Barnet 029E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",10
E01000182,Barnet 029E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",7
E01000182,Barnet 029E,9,Mixed or Multiple ethnic groups: White and Asian,55
E01000182,Barnet 029E,10,Mixed or Multiple ethnic groups: White and Black African,5
E01000182,Barnet 029E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,12
E01000182,Barnet 029E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,25
E01000182,Barnet 029E,13,"White: English, Welsh, Scottish, Northern Irish or British",790
E01000182,Barnet 029E,14,White: Irish,35
E01000182,Barnet 029E,15,White: Gypsy or Irish Traveller,0
E01000182,Barnet 029E,16,White: Roma,14
E01000182,Barnet 029E,17,White: Other White,378
E01000182,Barnet 029E,18,Other ethnic group: Arab,3
E01000182,Barnet 029E,19,Other ethnic group: Any other ethnic group,89
E01000183,Barnet 033A,-8,Does not apply,0
E01000183,Barnet 033A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9
E01000183,Barnet 033A,2,"Asian, Asian British or Asian Welsh: Chinese",23
E01000183,Barnet 033A,3,"Asian, Asian British or Asian Welsh: Indian",81
E01000183,Barnet 033A,4,"Asian, Asian British or Asian Welsh: Pakistani",14
E01000183,Barnet 033A,5,"Asian, Asian British or Asian Welsh: Other Asian",41
E01000183,Barnet 033A,6,"Black, Black British, Black Welsh, Caribbean or African: African",23
E01000183,Barnet 033A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",11
E01000183,Barnet 033A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",5
E01000183,Barnet 033A,9,Mixed or Multiple ethnic groups: White and Asian,28
E01000183,Barnet 033A,10,Mixed or Multiple ethnic groups: White and Black African,15
E01000183,Barnet 033A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7
E01000183,Barnet 033A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,41
E01000183,Barnet 033A,13,"White: English, Welsh, Scottish, Northern Irish or British",679
E01000183,Barnet 033A,14,White: Irish,49
E01000183,Barnet 033A,15,White: Gypsy or Irish Traveller,0
E01000183,Barnet 033A,16,White: Roma,8
E01000183,Barnet 033A,17,White: Other White,315
E01000183,Barnet 033A,18,Other ethnic group: Arab,20
E01000183,Barnet 033A,19,Other ethnic group: Any other ethnic group,152
E01000184,Barnet 027C,-8,Does not apply,0
E01000184,Barnet 027C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",50
E01000184,Barnet 027C,2,"Asian, Asian British or Asian Welsh: Chinese",17
E01000184,Barnet 027C,3,"Asian, Asian British or Asian Welsh: Indian",106
E01000184,Barnet 027C,4,"Asian, Asian British or Asian Welsh: Pakistani",12
E01000184,Barnet 027C,5,"Asian, Asian British or Asian Welsh: Other Asian",150
E01000184,Barnet 027C,6,"Black, Black British, Black Welsh, Caribbean or African: African",222
E01000184,Barnet 027C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",28
E01000184,Barnet 027C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",24
E01000184,Barnet 027C,9,Mixed or Multiple ethnic groups: White and Asian,34
E01000184,Barnet 027C,10,Mixed or Multiple ethnic groups: White and Black African,20
E01000184,Barnet 027C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,41
E01000184,Barnet 027C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,35
E01000184,Barnet 027C,13,"White: English, Welsh, Scottish, Northern Irish or British",545
E01000184,Barnet 027C,14,White: Irish,46
E01000184,Barnet 027C,15,White: Gypsy or Irish Traveller,1
E01000184,Barnet 027C,16,White: Roma,4
E01000184,Barnet 027C,17,White: Other White,332
E01000184,Barnet 027C,18,Other ethnic group: Arab,34
E01000184,Barnet 027C,19,Other ethnic group: Any other ethnic group,174
E01000185,Barnet 029F,-8,Does not apply,0
E01000185,Barnet 029F,1,"Asian, Asian British or Asian Welsh: Bangladeshi",42
E01000185,Barnet 029F,2,"Asian, Asian British or Asian Welsh: Chinese",27
E01000185,Barnet 029F,3,"Asian, Asian British or Asian Welsh: Indian",137
E01000185,Barnet 029F,4,"Asian, Asian British or Asian Welsh: Pakistani",14
E01000185,Barnet 029F,5,"Asian, Asian British or Asian Welsh: Other Asian",91
E01000185,Barnet 029F,6,"Black, Black British, Black Welsh, Caribbean or African: African",207
E01000185,Barnet 029F,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",43
E01000185,Barnet 029F,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",27
E01000185,Barnet 029F,9,Mixed or Multiple ethnic groups: White and Asian,20
E01000185,Barnet 029F,10,Mixed or Multiple ethnic groups: White and Black African,17
E01000185,Barnet 029F,11,Mixed or Multiple ethnic groups: White and Black Caribbean,13
E01000185,Barnet 029F,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,67
E01000185,Barnet 029F,13,"White: English, Welsh, Scottish, Northern Irish or British",386
E01000185,Barnet 029F,14,White: Irish,19
E01000185,Barnet 029F,15,White: Gypsy or Irish Traveller,1
E01000185,Barnet 029F,16,White: Roma,3
E01000185,Barnet 029F,17,White: Other White,226
E01000185,Barnet 029F,18,Other ethnic group: Arab,26
E01000185,Barnet 029F,19,Other ethnic group: Any other ethnic group,108
E01000186,Barnet 014A,-8,Does not apply,0
E01000186,Barnet 014A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",3
E01000186,Barnet 014A,2,"Asian, Asian British or Asian Welsh: Chinese",14
E01000186,Barnet 014A,3,"Asian, Asian British or Asian Welsh: Indian",261
E01000186,Barnet 014A,4,"Asian, Asian British or Asian Welsh: Pakistani",0
E01000186,Barnet 014A,5,"Asian, Asian British or Asian Welsh: Other Asian",52
E01000186,Barnet 014A,6,"Black, Black British, Black Welsh, Caribbean or African: African",24
E01000186,Barnet 014A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",4
E01000186,Barnet 014A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",4
E01000186,Barnet 014A,9,Mixed or Multiple ethnic groups: White and Asian,12
E01000186,Barnet 014A,10,Mixed or Multiple ethnic groups: White and Black African,4
E01000186,Barnet 014A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,2
E01000186,Barnet 014A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,12
E01000186,Barnet 014A,13,"White: English, Welsh, Scottish, Northern Irish or British",899
E01000186,Barnet 014A,14,White: Irish,8
E01000186,Barnet 014A,15,White: Gypsy or Irish Traveller,0
E01000186,Barnet 014A,16,White: Roma,0
E01000186,Barnet 014A,17,White: Other White,287
E01000186,Barnet 014A,18,Other ethnic group: Arab,15
E01000186,Barnet 014A,19,Other ethnic group: Any other ethnic group,173
E01000187,Barnet 014B,-8,Does not apply,0
E01000187,Barnet 014B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",11
E01000187,Barnet 014B,2,"Asian, Asian British or Asian Welsh: Chinese",10
E01000187,Barnet 014B,3,"Asian, Asian British or Asian Welsh: Indian",165
E01000187,Barnet 014B,4,"Asian, Asian British or Asian Welsh: Pakistani",12
E01000187,Barnet 014B,5,"Asian, Asian British or Asian Welsh: Other Asian",52
E01000187,Barnet 014B,6,"Black, Black British, Black Welsh, Caribbean or African: African",90
E01000187,Barnet 014B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",18
E01000187,Barnet 014B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E01000187,Barnet 014B,9,Mixed or Multiple ethnic groups: White and Asian,11
E01000187,Barnet 014B,10,Mixed or Multiple ethnic groups: White and Black African,9
E01000187,Barnet 014B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6
E01000187,Barnet 014B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,19
E01000187,Barnet 014B,13,"White: English, Welsh, Scottish, Northern Irish or British",865
E01000187,Barnet 014B,14,White: Irish,16
E01000187,Barnet 014B,15,White: Gypsy or Irish Traveller,0
E01000187,Barnet 014B,16,White: Roma,12
E01000187,Barnet 014B,17,White: Other White,241
E01000187,Barnet 014B,18,Other ethnic group: Arab,34
E01000187,Barnet 014B,19,Other ethnic group: Any other ethnic group,153
E01000188,Barnet 014C,-8,Does not apply,0
E01000188,Barnet 014C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",10
E01000188,Barnet 014C,2,"Asian, Asian British or Asian Welsh: Chinese",26
E01000188,Barnet 014C,3,"Asian, Asian British or Asian Welsh: Indian",299
E01000188,Barnet 014C,4,"Asian, Asian British or Asian Welsh: Pakistani",16
E01000188,Barnet 014C,5,"Asian, Asian British or Asian Welsh: Other Asian",55
E01000188,Barnet 014C,6,"Black, Black British, Black Welsh, Caribbean or African: African",54
E01000188,Barnet 014C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",6
E01000188,Barnet 014C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E01000188,Barnet 014C,9,Mixed or Multiple ethnic groups: White and Asian,15
E01000188,Barnet 014C,10,Mixed or Multiple ethnic groups: White and Black African,0
E01000188,Barnet 014C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7
E01000188,Barnet 014C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,10
E01000188,Barnet 014C,13,"White: English, Welsh, Scottish, Northern Irish or British",714
E01000188,Barnet 014C,14,White: Irish,15
E01000188,Barnet 014C,15,White: Gypsy or Irish Traveller,0
E01000188,Barnet 014C,16,White: Roma,0
E01000188,Barnet 014C,17,White: Other White,161
E01000188,Barnet 014C,18,Other ethnic group: Arab,31
E01000188,Barnet 014C,19,Other ethnic group: Any other ethnic group,159
E01000189,Barnet 014D,-8,Does not apply,0
E01000189,Barnet 014D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",18
E01000189,Barnet 014D,2,"Asian, Asian British or Asian Welsh: Chinese",68
E01000189,Barnet 014D,3,"Asian, Asian British or Asian Welsh: Indian",363
E01000189,Barnet 014D,4,"Asian, Asian British or Asian Welsh: Pakistani",75
E01000189,Barnet 014D,5,"Asian, Asian British or Asian Welsh: Other Asian",233
E01000189,Barnet 014D,6,"Black, Black British, Black Welsh, Caribbean or African: African",267
E01000189,Barnet 014D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",79
E01000189,Barnet 014D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",39
E01000189,Barnet 014D,9,Mixed or Multiple ethnic groups: White and Asian,38
E01000189,Barnet 014D,10,Mixed or Multiple ethnic groups: White and Black African,33
E01000189,Barnet 014D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,38
E01000189,Barnet 014D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,77
E01000189,Barnet 014D,13,"White: English, Welsh, Scottish, Northern Irish or British",527
E01000189,Barnet 014D,14,White: Irish,18
E01000189,Barnet 014D,15,White: Gypsy or Irish Traveller,0
E01000189,Barnet 014D,16,White: Roma,4
E01000189,Barnet 014D,17,White: Other White,366
E01000189,Barnet 014D,18,Other ethnic group: Arab,59
E01000189,Barnet 014D,19,Other ethnic group: Any other ethnic group,173
E01000190,Barnet 014E,-8,Does not apply,0
E01000190,Barnet 014E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01000190,Barnet 014E,2,"Asian, Asian British or Asian Welsh: Chinese",28
E01000190,Barnet 014E,3,"Asian, Asian British or Asian Welsh: Indian",244
E01000190,Barnet 014E,4,"Asian, Asian British or Asian Welsh: Pakistani",35
E01000190,Barnet 014E,5,"Asian, Asian British or Asian Welsh: Other Asian",100
E01000190,Barnet 014E,6,"Black, Black British, Black Welsh, Caribbean or African: African",71
E01000190,Barnet 014E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",28
E01000190,Barnet 014E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E01000190,Barnet 014E,9,Mixed or Multiple ethnic groups: White and Asian,25
E01000190,Barnet 014E,10,Mixed or Multiple ethnic groups: White and Black African,8
E01000190,Barnet 014E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,6
E01000190,Barnet 014E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,13
E01000190,Barnet 014E,13,"White: English, Welsh, Scottish, Northern Irish or British",726
E01000190,Barnet 014E,14,White: Irish,6
E01000190,Barnet 014E,15,White: Gypsy or Irish Traveller,0
E01000190,Barnet 014E,16,White: Roma,3
E01000190,Barnet 014E,17,White: Other White,225
E01000190,Barnet 014E,18,Other ethnic group: Arab,51
E01000190,Barnet 014E,19,Other ethnic group: Any other ethnic group,150
E01000191,Barnet 014F,-8,Does not apply,0
E01000191,Barnet 014F,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7
E01000191,Barnet 014F,2,"Asian, Asian British or Asian Welsh: Chinese",14
E01000191,Barnet 014F,3,"Asian, Asian British or Asian Welsh: Indian",240
E01000191,Barnet 014F,4,"Asian, Asian British or Asian Welsh: Pakistani",33
E01000191,Barnet 014F,5,"Asian, Asian British or Asian Welsh: Other Asian",56
E01000191,Barnet 014F,6,"Black, Black British, Black Welsh, Caribbean or African: African",49
E01000191,Barnet 014F,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",2
E01000191,Barnet 014F,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",13
E01000191,Barnet 014F,9,Mixed or Multiple ethnic groups: White and Asian,13
E01000191,Barnet 014F,10,Mixed or Multiple ethnic groups: White and Black African,2
E01000191,Barnet 014F,11,Mixed or Multiple ethnic groups: White and Black Caribbean,1
E01000191,Barnet 014F,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,22
E01000191,Barnet 014F,13,"White: English, Welsh, Scottish, Northern Irish or British",687
E01000191,Barnet 014F,14,White: Irish,11
E01000191,Barnet 014F,15,White: Gypsy or Irish Traveller,0
E01000191,Barnet 014F,16,White: Roma,0
E01000191,Barnet 014F,17,White: Other White,246
E01000191,Barnet 014F,18,Other ethnic group: Arab,23
E01000191,Barnet 014F,19,Other ethnic group: Any other ethnic group,126
E01000192,Barnet 018A,-8,Does not apply,0
E01000192,Barnet 018A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",0
E01000192,Barnet 018A,2,"Asian, Asian British or Asian Welsh: Chinese",38
E01000192,Barnet 018A,3,"Asian, Asian British or Asian Welsh: Indian",221
E01000192,Barnet 018A,4,"Asian, Asian British or Asian Welsh: Pakistani",21
E01000192,Barnet 018A,5,"Asian, Asian British or Asian Welsh: Other Asian",104
E01000192,Barnet 018A,6,"Black, Black British, Black Welsh, Caribbean or African: African",98
E01000192,Barnet 018A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",8
E01000192,Barnet 018A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",16
E01000192,Barnet 018A,9,Mixed or Multiple ethnic groups: White and Asian,14
E01000192,Barnet 018A,10,Mixed or Multiple ethnic groups: White and Black African,15
E01000192,Barnet 018A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7
E01000192,Barnet 018A,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,29
E01000192,Barnet 018A,13,"White: English, Welsh, Scottish, Northern Irish or British",811
E01000192,Barnet 018A,14,White: Irish,16
E01000192,Barnet 018A,15,White: Gypsy or Irish Traveller,0
E01000192,Barnet 018A,16,White: Roma,12
E01000192,Barnet 018A,17,White: Other White,390
E01000192,Barnet 018A,18,Other ethnic group: Arab,39
E01000192,Barnet 018A,19,Other ethnic group: Any other ethnic group,159
E01000193,Barnet 018B,-8,Does not apply,0
E01000193,Barnet 018B,1,"Asian, Asian British or Asian Welsh: Bangladeshi",13
E01000193,Barnet 018B,2,"Asian, Asian British or Asian Welsh: Chinese",51
E01000193,Barnet 018B,3,"Asian, Asian British or Asian Welsh: Indian",239
E01000193,Barnet 018B,4,"Asian, Asian British or Asian Welsh: Pakistani",57
E01000193,Barnet 018B,5,"Asian, Asian British or Asian Welsh: Other Asian",103
E01000193,Barnet 018B,6,"Black, Black British, Black Welsh, Caribbean or African: African",72
E01000193,Barnet 018B,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",21
E01000193,Barnet 018B,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",14
E01000193,Barnet 018B,9,Mixed or Multiple ethnic groups: White and Asian,11
E01000193,Barnet 018B,10,Mixed or Multiple ethnic groups: White and Black African,12
E01000193,Barnet 018B,11,Mixed or Multiple ethnic groups: White and Black Caribbean,13
E01000193,Barnet 018B,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,28
E01000193,Barnet 018B,13,"White: English, Welsh, Scottish, Northern Irish or British",626
E01000193,Barnet 018B,14,White: Irish,14
E01000193,Barnet 018B,15,White: Gypsy or Irish Traveller,0
E01000193,Barnet 018B,16,White: Roma,13
E01000193,Barnet 018B,17,White: Other White,443
E01000193,Barnet 018B,18,Other ethnic group: Arab,75
E01000193,Barnet 018B,19,Other ethnic group: Any other ethnic group,142
E01000194,Barnet 018C,-8,Does not apply,0
E01000194,Barnet 018C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",32
E01000194,Barnet 018C,2,"Asian, Asian British or Asian Welsh: Chinese",58
E01000194,Barnet 018C,3,"Asian, Asian British or Asian Welsh: Indian",204
E01000194,Barnet 018C,4,"Asian, Asian British or Asian Welsh: Pakistani",82
E01000194,Barnet 018C,5,"Asian, Asian British or Asian Welsh: Other Asian",191
E01000194,Barnet 018C,6,"Black, Black British, Black Welsh, Caribbean or African: African",139
E01000194,Barnet 018C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",54
E01000194,Barnet 018C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",12
E01000194,Barnet 018C,9,Mixed or Multiple ethnic groups: White and Asian,28
E01000194,Barnet 018C,10,Mixed or Multiple ethnic groups: White and Black African,6
E01000194,Barnet 018C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,9
E01000194,Barnet 018C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,22
E01000194,Barnet 018C,13,"White: English, Welsh, Scottish, Northern Irish or British",424
E01000194,Barnet 018C,14,White: Irish,31
E01000194,Barnet 018C,15,White: Gypsy or Irish Traveller,0
E01000194,Barnet 018C,16,White: Roma,9
E01000194,Barnet 018C,17,White: Other White,406
E01000194,Barnet 018C,18,Other ethnic group: Arab,44
E01000194,Barnet 018C,19,Other ethnic group: Any other ethnic group,152
E01000195,Barnet 013A,-8,Does not apply,0
E01000195,Barnet 013A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",17
E01000195,Barnet 013A,2,"Asian, Asian British or Asian Welsh: Chinese",15
E01000195,Barnet 013A,3,"Asian, Asian British or Asian Welsh: Indian",122
E01000195,Barnet 013A,4,"Asian, Asian British or Asian Welsh: Pakistani",31
E01000195,Barnet 013A,5,"Asian, Asian British or Asian Welsh: Other Asian",113
E01000195,Barnet 013A,6,"Black, Black British, Black Welsh, Caribbean or African: African",298
E01000195,Barnet 013A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",30
