Lower layer Super Output Areas Code,Lower layer Super Output Areas,Ethnic group (20 categories) Code,Ethnic group (20 categories),Observation
E01000119,Barnet 009C,4,"Asian, Asian British or Asian Welsh: Pakistani",37
E01000119,Barnet 009C,5,"Asian, Asian British or Asian Welsh: Other Asian",83
E01000119,Barnet 009C,6,"Black, Black British, Black Welsh, Caribbean or African: African",22
E01000119,Barnet 009C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",16
E01000119,Barnet 009C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8
E01000119,Barnet 009C,9,Mixed or Multiple ethnic groups: White and Asian,44
E01000119,Barnet 009C,10,Mixed or Multiple ethnic groups: White and Black African,8
E01000119,Barnet 009C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,5
E01000119,Barnet 009C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,40
E01000119,Barnet 009C,13,"White: English, Welsh, Scottish, Northern Irish or British",594
E01000119,Barnet 009C,14,White: Irish,13
E01000119,Barnet 009C,15,White: Gypsy or Irish Traveller,0
E01000119,Barnet 009C,16,White: Roma,5
E01000119,Barnet 009C,17,White: Other White,397
E01000119,Barnet 009C,18,Other ethnic group: Arab,21
E01000119,Barnet 009C,19,Other ethnic group: Any other ethnic group,163
E01000120,Barnet 009D,-8,Does not apply,0
E01000120,Barnet 009D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",14
E01000120,Barnet 009D,2,"Asian, Asian British or Asian Welsh: Chinese",46
E01000120,Barnet 009D,3,"Asian, Asian British or Asian Welsh: Indian",158
E01000120,Barnet 009D,4,"Asian, Asian British or Asian Welsh: Pakistani",45
E01000120,Barnet 009D,5,"Asian, Asian British or Asian Welsh: Other Asian",52
E01000120,Barnet 009D,6,"Black, Black British, Black Welsh, Caribbean or African: African",29
E01000120,Barnet 009D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25
E01000120,Barnet 009D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",2
E01000120,Barnet 009D,9,Mixed or Multiple ethnic groups: White and Asian,22
E01000120,Barnet 009D,10,Mixed or Multiple ethnic groups: White and Black African,5
E01000120,Barnet 009D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,7
E01000120,Barnet 009D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,37
E01000120,Barnet 009D,13,"White: English, Welsh, Scottish, Northern Irish or British",465
E01000120,Barnet 009D,14,White: Irish,27
E01000120,Barnet 009D,15,White: Gypsy or Irish Traveller,0
E01000120,Barnet 009D,16,White: Roma,6
E01000120,Barnet 009D,17,White: Other White,332
E01000120,Barnet 009D,18,Other ethnic group: Arab,10
E01000120,Barnet 009D,19,Other ethnic group: Any other ethnic group,212
E01000121,Barnet 010C,-8,Does not apply,0
E01000121,Barnet 010C,1,"Asian, Asian British or Asian Welsh: Bangladeshi",4
E01000121,Barnet 010C,2,"Asian, Asian British or Asian Welsh: Chinese",14
E01000121,Barnet 010C,3,"Asian, Asian British or Asian Welsh: Indian",121
E01000121,Barnet 010C,4,"Asian, Asian British or Asian Welsh: Pakistani",6
E01000121,Barnet 010C,5,"Asian, Asian British or Asian Welsh: Other Asian",103
E01000121,Barnet 010C,6,"Black, Black British, Black Welsh, Caribbean or African: African",84
E01000121,Barnet 010C,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",38
E01000121,Barnet 010C,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",48
E01000121,Barnet 010C,9,Mixed or Multiple ethnic groups: White and Asian,21
E01000121,Barnet 010C,10,Mixed or Multiple ethnic groups: White and Black African,16
E01000121,Barnet 010C,11,Mixed or Multiple ethnic groups: White and Black Caribbean,37
E01000121,Barnet 010C,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,47
E01000121,Barnet 010C,13,"White: English, Welsh, Scottish, Northern Irish or British",616
E01000121,Barnet 010C,14,White: Irish,36
E01000121,Barnet 010C,15,White: Gypsy or Irish Traveller,1
E01000121,Barnet 010C,16,White: Roma,2
E01000121,Barnet 010C,17,White: Other White,174
E01000121,Barnet 010C,18,Other ethnic group: Arab,15
E01000121,Barnet 010C,19,Other ethnic group: Any other ethnic group,92
E01000122,Barnet 009E,-8,Does not apply,0
E01000122,Barnet 009E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",48
E01000122,Barnet 009E,2,"Asian, Asian British or Asian Welsh: Chinese",30
E01000122,Barnet 009E,3,"Asian, Asian British or Asian Welsh: Indian",157
E01000122,Barnet 009E,4,"Asian, Asian British or Asian Welsh: Pakistani",22
E01000122,Barnet 009E,5,"Asian, Asian British or Asian Welsh: Other Asian",45
E01000122,Barnet 009E,6,"Black, Black British, Black Welsh, Caribbean or African: African",28
E01000122,Barnet 009E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",25
E01000122,Barnet 009E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",8
E01000122,Barnet 009E,9,Mixed or Multiple ethnic groups: White and Asian,45
E01000122,Barnet 009E,10,Mixed or Multiple ethnic groups: White and Black African,4
E01000122,Barnet 009E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,17
E01000122,Barnet 009E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,35
E01000122,Barnet 009E,13,"White: English, Welsh, Scottish, Northern Irish or British",524
E01000122,Barnet 009E,14,White: Irish,40
E01000122,Barnet 009E,15,White: Gypsy or Irish Traveller,0
E01000122,Barnet 009E,16,White: Roma,5
E01000122,Barnet 009E,17,White: Other White,324
E01000122,Barnet 009E,18,Other ethnic group: Arab,3
E01000122,Barnet 009E,19,Other ethnic group: Any other ethnic group,151
E01000123,Barnet 010D,-8,Does not apply,0
E01000123,Barnet 010D,1,"Asian, Asian British or Asian Welsh: Bangladeshi",21
E01000123,Barnet 010D,2,"Asian, Asian British or Asian Welsh: Chinese",33
E01000123,Barnet 010D,3,"Asian, Asian British or Asian Welsh: Indian",133
E01000123,Barnet 010D,4,"Asian, Asian British or Asian Welsh: Pakistani",33
E01000123,Barnet 010D,5,"Asian, Asian British or Asian Welsh: Other Asian",77
E01000123,Barnet 010D,6,"Black, Black British, Black Welsh, Caribbean or African: African",55
E01000123,Barnet 010D,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",39
E01000123,Barnet 010D,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",9
E01000123,Barnet 010D,9,Mixed or Multiple ethnic groups: White and Asian,37
E01000123,Barnet 010D,10,Mixed or Multiple ethnic groups: White and Black African,10
E01000123,Barnet 010D,11,Mixed or Multiple ethnic groups: White and Black Caribbean,19
E01000123,Barnet 010D,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,45
E01000123,Barnet 010D,13,"White: English, Welsh, Scottish, Northern Irish or British",680
E01000123,Barnet 010D,14,White: Irish,53
E01000123,Barnet 010D,15,White: Gypsy or Irish Traveller,0
E01000123,Barnet 010D,16,White: Roma,8
E01000123,Barnet 010D,17,White: Other White,314
E01000123,Barnet 010D,18,Other ethnic group: Arab,16
E01000123,Barnet 010D,19,Other ethnic group: Any other ethnic group,185
E01000124,Barnet 010E,-8,Does not apply,0
E01000124,Barnet 010E,1,"Asian, Asian British or Asian Welsh: Bangladeshi",7
E01000124,Barnet 010E,2,"Asian, Asian British or Asian Welsh: Chinese",15
E01000124,Barnet 010E,3,"Asian, Asian British or Asian Welsh: Indian",117
E01000124,Barnet 010E,4,"Asian, Asian British or Asian Welsh: Pakistani",15
E01000124,Barnet 010E,5,"Asian, Asian British or Asian Welsh: Other Asian",103
E01000124,Barnet 010E,6,"Black, Black British, Black Welsh, Caribbean or African: African",95
E01000124,Barnet 010E,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",34
E01000124,Barnet 010E,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",17
E01000124,Barnet 010E,9,Mixed or Multiple ethnic groups: White and Asian,23
E01000124,Barnet 010E,10,Mixed or Multiple ethnic groups: White and Black African,15
E01000124,Barnet 010E,11,Mixed or Multiple ethnic groups: White and Black Caribbean,39
E01000124,Barnet 010E,12,Mixed or Multiple ethnic groups: Other Mixed or Multiple ethnic groups,106
E01000124,Barnet 010E,13,"White: English, Welsh, Scottish, Northern Irish or British",610
E01000124,Barnet 010E,14,White: Irish,48
E01000124,Barnet 010E,15,White: Gypsy or Irish Traveller,1
E01000124,Barnet 010E,16,White: Roma,5
E01000124,Barnet 010E,17,White: Other White,442
E01000124,Barnet 010E,18,Other ethnic group: Arab,25
E01000124,Barnet 010E,19,Other ethnic group: Any other ethnic group,149
E01000126,Barnet 026A,-8,Does not apply,0
E01000126,Barnet 026A,1,"Asian, Asian British or Asian Welsh: Bangladeshi",9
E01000126,Barnet 026A,2,"Asian, Asian British or Asian Welsh: Chinese",73
E01000126,Barnet 026A,3,"Asian, Asian British or Asian Welsh: Indian",120
E01000126,Barnet 026A,4,"Asian, Asian British or Asian Welsh: Pakistani",37
E01000126,Barnet 026A,5,"Asian, Asian British or Asian Welsh: Other Asian",215
E01000126,Barnet 026A,6,"Black, Black British, Black Welsh, Caribbean or African: African",378
E01000126,Barnet 026A,7,"Black, Black British, Black Welsh, Caribbean or African: Caribbean",51
E01000126,Barnet 026A,8,"Black, Black British, Black Welsh, Caribbean or African: Other Black",34
E01000126,Barnet 026A,9,Mixed or Multiple ethnic groups: White and Asian,27
E01000126,Barnet 026A,10,Mixed or Multiple ethnic groups: White and Black African,100
E01000126,Barnet 026A,11,Mixed or Multiple ethnic groups: White and Black Caribbean,17
